customer_id,recency,frequency,amount,segment
10,3828.9583333333335,1,30,1
80,342.9583333333333,7,71.42857142857143,4
90,757.9583333333334,10,115.8,4
120,1400.9583333333333,1,20,5
130,2969.9583333333335,2,50,1
160,2962.9583333333335,2,30,1
190,2210.9583333333335,5,68,5
220,2057.9583333333335,2,25,5
230,3984.9583333333335,1,50,1
240,462.9583333333333,4,16.25,2
260,3709.9583333333335,1,15,1
280,2064.9583333333335,2,20,5
290,786.9583333333334,7,77.85714285714286,4
320,3738.9583333333335,1,15,1
330,1166.9583333333333,5,34,5
400,2064.9583333333335,2,27.5,5
410,1103.9583333333333,9,29.444444444444443,4
480,20.958333333333332,12,60.833333333333336,4
490,3505.9583333333335,2,31,1
500,2955.9583333333335,2,75,1
510,3697.9583333333335,1,30,1
520,1990.9583333333333,3,183.33333333333334,5
690,1831.9583333333333,4,20,5
710,2057.9583333333335,6,27.5,5
760,1272.9583333333333,5,38,5
770,2347.9583333333335,2,30,1
780,3668.9583333333335,1,25,1
800,1464.9583333333333,3,101.66666666666667,5
820,3719.9583333333335,1,30,1
830,320.9583333333333,7,48.57142857142857,4
850,23.958333333333332,10,28.5,4
860,236.95833333333334,10,54,4
870,3652.9583333333335,1,450,1
890,3730.9583333333335,1,30,1
910,3656.9583333333335,1,25,1
940,730.9583333333334,8,36.25,4
960,3778.9583333333335,1,50,1
1000,1119.9583333333333,2,22.5,5
1020,0.9583333333333334,5,68,2
1030,818.9583333333334,7,20,4
1040,55.958333333333336,4,42.5,2
1050,1447.9583333333333,9,155.55555555555554,4
1150,9.958333333333334,11,64.0909090909091,4
1200,1191.9583333333333,9,102.77777777777777,4
1290,366.9583333333333,5,53,2
1310,2.9583333333333335,11,29.09090909090909,4
1350,3287.9583333333335,4,31.25,1
1380,615.9583333333334,4,62.5,2
1410,367.9583333333333,5,270,2
1420,23.958333333333332,34,51.029411764705884,4
1430,3292.9583333333335,3,46.666666666666664,1
1470,14.958333333333334,9,56.111111111111114,4
1530,0.9583333333333334,1,50,2
1550,1744.9583333333333,4,52.5,5
1590,3730.9583333333335,1,75,1
1620,587.9583333333334,2,25,2
1650,1372.9583333333333,3,26.666666666666668,5
1660,2353.9583333333335,4,57.5,1
1710,342.9583333333333,11,92.36363636363636,4
1800,191.95833333333334,4,30,2
1860,281.9583333333333,1,50,2
1880,0.9583333333333334,4,20,2
1910,604.9583333333334,5,33,2
1920,33.958333333333336,8,34.375,4
1940,685.9583333333334,10,47.5,4
1950,3290.9583333333335,2,300,1
1960,285.9583333333333,12,41.25,4
2070,3287.9583333333335,2,30,1
2120,198.95833333333334,12,381.25,4
2140,3325.9583333333335,1,30,1
2160,3179.9583333333335,2,200,1
2170,796.9583333333334,7,28.571428571428573,4
2180,133.95833333333334,1,30,2
2190,1007.9583333333334,9,677.7777777777778,4
2200,1386.9583333333333,3,66.66666666666667,5
2230,3361.9583333333335,1,8,1
2270,153.95833333333334,10,18,4
2280,3729.9583333333335,1,15,1
2320,2078.9583333333335,3,13.333333333333334,5
2370,3323.9583333333335,2,62.5,1
2380,617.9583333333334,6,46.666666666666664,4
2440,3666.9583333333335,1,55,1
2480,365.9583333333333,3,43.333333333333336,2
2540,1485.9583333333333,4,118.75,5
2570,5.958333333333333,9,124,4
2600,1100.9583333333333,7,478.57142857142856,4
2620,1386.9583333333333,2,30,5
2640,72.95833333333333,20,30.5,4
2660,3726.9583333333335,1,20,1
2690,1106.9583333333333,6,108.33333333333333,4
2700,1469.9583333333333,4,67.5,5
2720,99.95833333333333,21,59.04761904761905,4
2740,3011.9583333333335,4,47.5,1
2800,3171.9583333333335,3,75,1
2810,3730.9583333333335,1,30,1
2850,2934.9583333333335,5,30,1
2930,2962.9583333333335,2,175,1
2940,3190.9583333333335,3,36.666666666666664,1
2960,1812.9583333333333,6,55.833333333333336,5
2980,1461.9583333333333,3,48.333333333333336,5
3000,1191.9583333333333,6,35.125,4
3010,2.9583333333333335,12,42.916666666666664,4
3020,2255.9583333333335,5,34,5
3040,3576.9583333333335,2,35,1
3050,525.9583333333334,9,43.333333333333336,4
3060,688.9583333333334,8,67.5,4
3090,3690.9583333333335,1,100,1
3100,673.9583333333334,4,38.75,2
3120,2010.9583333333333,4,175,5
3130,2479.9583333333335,5,29,1
3140,3813.9583333333335,1,100,1
3170,194.95833333333334,6,29.166666666666668,4
3200,2057.9583333333335,4,26.25,5
3260,1223.9583333333333,7,41.42857142857143,4
3300,30.958333333333332,11,31.363636363636363,4
3320,1569.9583333333333,4,67.5,5
3450,2926.9583333333335,2,22.5,1
3510,275.9583333333333,9,31.666666666666668,4
3600,3340.9583333333335,3,43.333333333333336,1
3610,16.958333333333332,8,93.125,4
3650,275.9583333333333,10,43,4
3670,2969.9583333333335,2,22.5,1
3710,2143.9583333333335,4,32.5,5
3720,2556.9583333333335,3,36.666666666666664,1
3750,3652.9583333333335,1,20,1
3780,70.95833333333333,6,47.5,4
3800,3117.9583333333335,2,17.5,1
3830,3177.9583333333335,5,36,1
